,time stamp,corruption_type,accuracy
0,2020/07/08 10:50:16,gaussian_noise,43.709651479915706
1,2020/07/08 10:50:27,shot_noise,48.141222116898525
2,2020/07/08 10:50:37,speckle_noise,49.081309260154256
3,2020/07/08 10:50:48,impulse_noise,40.557877793604014
4,2020/07/08 10:50:58,defocus_blur,54.21140227025868
5,2020/07/08 10:51:09,gaussian_blur,50.539196403659105
6,2020/07/08 10:51:20,motion_blur,52.23699375074737
7,2020/07/08 10:51:30,zoom_blur,50.355954617870104
8,2020/07/08 10:51:40,snow,50.52720089347996
9,2020/07/08 10:51:51,fog,43.88443246179698
10,2020/07/08 10:52:01,brightness,56.39669122501295
11,2020/07/08 10:52:11,contrast,35.70044762747629
12,2020/07/08 10:52:21,elastic_transform,55.077560969761436
13,2020/07/08 10:52:32,pixelate,57.40250918329978
14,2020/07/08 10:52:42,jpeg_compression,61.44563589290697
15,2020/07/08 10:52:52,spatter,53.6953320405921
16,2020/07/08 10:53:03,saturate,57.67686423476862
17,2020/07/08 10:53:13,frost,44.97203803549007
