,time stamp,num_devide,accuracy,legend
0,2020/07/07 12:12:49,1,0.8558,unfreeze_level_3_pg
1,2020/07/07 12:12:51,2,0.5966,unfreeze_level_3_pg
2,2020/07/07 12:12:54,3,0.4868,unfreeze_level_3_pg
3,2020/07/07 12:12:56,4,0.39,unfreeze_level_3_pg
4,2020/07/07 12:12:58,5,0.3312,unfreeze_level_3_pg
5,2020/07/07 12:13:00,6,0.2898,unfreeze_level_3_pg
6,2020/07/07 12:13:02,7,0.2687,unfreeze_level_3_pg
7,2020/07/07 12:13:05,8,0.2493,unfreeze_level_3_pg
8,2020/07/07 12:13:07,9,0.2369,unfreeze_level_3_pg
9,2020/07/07 12:13:09,10,0.2283,unfreeze_level_3_pg
