,time stamp,corruption_type,accuracy
0,2020/07/08 10:25:20,gaussian_noise,17.444670229542012
1,2020/07/08 10:25:30,shot_noise,19.71750006383779
2,2020/07/08 10:25:41,speckle_noise,19.2708834823297
3,2020/07/08 10:25:51,impulse_noise,16.453931224589446
4,2020/07/08 10:26:01,defocus_blur,23.135167997710557
5,2020/07/08 10:26:11,gaussian_blur,21.602487564086914
6,2020/07/08 10:26:22,motion_blur,22.545432538402324
7,2020/07/08 10:26:32,zoom_blur,20.252071185987827
8,2020/07/08 10:26:42,snow,26.460293750373683
9,2020/07/08 10:26:52,fog,23.51176690082161
10,2020/07/08 10:27:03,brightness,27.461110484843353
11,2020/07/08 10:27:13,contrast,20.206759005176774
12,2020/07/08 10:27:23,elastic_transform,23.85952392889529
13,2020/07/08 10:27:33,pixelate,28.54916732165277
14,2020/07/08 10:27:43,jpeg_compression,30.360075931159816
15,2020/07/08 10:27:54,spatter,27.23146602085659
16,2020/07/08 10:28:04,saturate,28.38085412005989
17,2020/07/08 10:28:14,frost,21.686155319213867
