,time stamp,num_devide,accuracy,legend
0,2020/07/05 09:09:42,1,0.6521,unfreeze_level_1
1,2020/07/05 09:09:44,2,0.3807,unfreeze_level_1
2,2020/07/05 09:09:46,3,0.3147,unfreeze_level_1
3,2020/07/05 09:09:48,4,0.2743,unfreeze_level_1
4,2020/07/05 09:09:50,5,0.2494,unfreeze_level_1
5,2020/07/05 09:09:53,6,0.2278,unfreeze_level_1
6,2020/07/05 09:09:55,7,0.2152,unfreeze_level_1
7,2020/07/05 09:09:57,8,0.2063,unfreeze_level_1
8,2020/07/05 09:10:00,9,0.2096,unfreeze_level_1
9,2020/07/05 09:10:02,10,0.1929,unfreeze_level_1
