,time stamp,corruption_type,accuracy
0,2020/07/08 10:47:08,gaussian_noise,23.727422869935328
1,2020/07/08 10:47:19,shot_noise,24.801152793728576
2,2020/07/08 10:47:29,speckle_noise,24.934532321229273
3,2020/07/08 10:47:40,impulse_noise,23.08729876304159
4,2020/07/08 10:47:50,defocus_blur,25.02056912013463
5,2020/07/08 10:48:01,gaussian_blur,23.591937512767558
6,2020/07/08 10:48:11,motion_blur,24.62103209203603
7,2020/07/08 10:48:21,zoom_blur,22.0466974998007
8,2020/07/08 10:48:32,snow,25.96419096966179
9,2020/07/08 10:48:42,fog,21.66784239788445
10,2020/07/08 10:48:53,brightness,26.576864553957574
11,2020/07/08 10:49:03,contrast,18.473727206794575
12,2020/07/08 10:49:13,elastic_transform,26.0472946556247
13,2020/07/08 10:49:24,pixelate,28.529237474713998
14,2020/07/08 10:49:35,jpeg_compression,30.786161033474674
15,2020/07/08 10:49:45,spatter,26.763716250049825
16,2020/07/08 10:49:55,saturate,28.173734119960237
17,2020/07/08 10:50:05,frost,21.220736990169602
