,time stamp,corruption_type,accuracy
0,2020/07/08 10:56:30,gaussian_noise,43.68344182384257
1,2020/07/08 10:56:41,shot_noise,52.6388997447734
2,2020/07/08 10:56:51,speckle_noise,54.038501428098094
3,2020/07/08 10:57:01,impulse_noise,49.13444301060268
4,2020/07/08 10:57:12,defocus_blur,69.07376604664083
5,2020/07/08 10:57:23,gaussian_blur,59.7780717732955
6,2020/07/08 10:57:33,motion_blur,59.069283699502755
7,2020/07/08 10:57:44,zoom_blur,59.96996237307179
8,2020/07/08 10:57:54,snow,62.97914364873146
9,2020/07/08 10:58:04,fog,73.60682849494778
10,2020/07/08 10:58:15,brightness,83.03154038409798
11,2020/07/08 10:58:25,contrast,58.69482818914919
12,2020/07/08 10:58:35,elastic_transform,71.18102770435567
13,2020/07/08 10:58:46,pixelate,60.879778647909355
14,2020/07/08 10:58:56,jpeg_compression,74.39304211674904
15,2020/07/08 10:59:07,spatter,74.73809176075216
16,2020/07/08 10:59:17,saturate,80.07391341851682
17,2020/07/08 10:59:28,frost,63.39364686304209
