,time stamp,corruption_type,accuracy
0,2020/07/08 09:57:34,gaussian_noise,45.41500710467904
1,2020/07/08 09:57:44,shot_noise,53.99627276829311
2,2020/07/08 09:57:55,speckle_noise,55.65432318862605
3,2020/07/08 09:58:05,impulse_noise,49.092176670930826
4,2020/07/08 09:58:16,defocus_blur,71.71247778133471
5,2020/07/08 09:58:27,gaussian_blur,63.37939507620676
6,2020/07/08 09:58:37,motion_blur,62.31014002585898
7,2020/07/08 09:58:47,zoom_blur,65.18101563745616
8,2020/07/08 09:58:58,snow,65.98219548439494
9,2020/07/08 09:59:08,fog,74.77328857110471
10,2020/07/08 09:59:18,brightness,83.86596165871134
11,2020/07/08 09:59:29,contrast,58.45770061259367
12,2020/07/08 09:59:39,elastic_transform,72.90416982222577
13,2020/07/08 09:59:49,pixelate,67.73030635288784
14,2020/07/08 10:00:00,jpeg_compression,76.3219504842953
15,2020/07/08 10:00:10,spatter,75.4347339552276
16,2020/07/08 10:00:20,saturate,81.39507433832908
17,2020/07/08 10:00:31,frost,66.05958346931301
