,time stamp,num_devide,accuracy,legend
0,2020/07/05 09:10:04,1,0.785,unfreeze_level_2
1,2020/07/05 09:10:06,2,0.4766,unfreeze_level_2
2,2020/07/05 09:10:08,3,0.3844,unfreeze_level_2
3,2020/07/05 09:10:10,4,0.3085,unfreeze_level_2
4,2020/07/05 09:10:12,5,0.264,unfreeze_level_2
5,2020/07/05 09:10:15,6,0.2434,unfreeze_level_2
6,2020/07/05 09:10:17,7,0.2298,unfreeze_level_2
7,2020/07/05 09:10:19,8,0.2152,unfreeze_level_2
8,2020/07/05 09:10:21,9,0.20800000000000002,unfreeze_level_2
9,2020/07/05 09:10:24,10,0.2085,unfreeze_level_2
