,time stamp,num_devide,accuracy,legend
0,2020/07/07 13:25:54,1,0.8527,cifar10_pg
1,2020/07/07 13:25:56,2,0.5939,cifar10_pg
2,2020/07/07 13:25:58,3,0.4944,cifar10_pg
3,2020/07/07 13:26:00,4,0.4012,cifar10_pg
4,2020/07/07 13:26:02,5,0.3468,cifar10_pg
5,2020/07/07 13:26:04,6,0.3032,cifar10_pg
6,2020/07/07 13:26:07,7,0.2758,cifar10_pg
7,2020/07/07 13:26:09,8,0.2499,cifar10_pg
8,2020/07/07 13:26:12,9,0.2526,cifar10_pg
9,2020/07/07 13:26:14,10,0.2345,cifar10_pg
