,time stamp,corruption_type,accuracy
0,2020/07/08 10:28:25,gaussian_noise,35.851124821876994
1,2020/07/08 10:28:35,shot_noise,40.957565229766224
2,2020/07/08 10:28:46,speckle_noise,41.00566007653061
3,2020/07/08 10:28:56,impulse_noise,32.13093683670978
4,2020/07/08 10:29:06,defocus_blur,54.30935933638592
5,2020/07/08 10:29:17,gaussian_blur,49.880270510303724
6,2020/07/08 10:29:27,motion_blur,52.35228596901407
7,2020/07/08 10:29:37,zoom_blur,49.863160970259685
8,2020/07/08 10:29:47,snow,52.375524949054316
9,2020/07/08 10:29:58,fog,48.58358955383301
10,2020/07/08 10:30:08,brightness,59.93435186269332
11,2020/07/08 10:30:18,contrast,40.07301844382773
12,2020/07/08 10:30:29,elastic_transform,55.73317773001536
13,2020/07/08 10:30:39,pixelate,60.54977051092654
14,2020/07/08 10:30:49,jpeg_compression,62.70238199039381
15,2020/07/08 10:30:59,spatter,54.343277678197744
16,2020/07/08 10:31:10,saturate,60.29211137732681
17,2020/07/08 10:31:20,frost,47.7976767092335
