,time stamp,num_devide,accuracy,legend
0,2020/07/07 12:11:43,1,0.3248,unfreeze_level_0_pg
1,2020/07/07 12:11:45,2,0.2698,unfreeze_level_0_pg
2,2020/07/07 12:11:47,3,0.2501,unfreeze_level_0_pg
3,2020/07/07 12:11:49,4,0.2221,unfreeze_level_0_pg
4,2020/07/07 12:11:51,5,0.215,unfreeze_level_0_pg
5,2020/07/07 12:11:54,6,0.1971,unfreeze_level_0_pg
6,2020/07/07 12:11:56,7,0.1794,unfreeze_level_0_pg
7,2020/07/07 12:11:58,8,0.1707,unfreeze_level_0_pg
8,2020/07/07 12:12:00,9,0.175,unfreeze_level_0_pg
9,2020/07/07 12:12:03,10,0.1659,unfreeze_level_0_pg
